No.,Column Name,Use,Description
1,`Grid`,`MU`,Grid numbers do not need to be consecutive and do not need to start at a particular value. Each grid must have a unique grid number. All grids must be present for all years. These grid numbers are referred to columns from `GridConnection1of8` to `GridConnection8of8`
|NotAvail|
2,`Year`,`MU`,"Year [YYYY] Years must be continuous. If running multiple years, ensure the rows in `SUEWS_SiteSelect.txt` are arranged so that all grids for a particular year appear on consecutive lines (rather than grouping all years together for a particular grid). "
3,`StartDLS`,`MU`,Start of the day light savings [DOY] See `Day_Light_Savings`.
4,`EndDLS`,`MU`,End of the day light savings [DOY] See `Day_Light_Savings`.
5,`lat`,`MU`,"Use coordinate system WGS84. Positive values are northern hemisphere (negative southern hemisphere). Used in radiation calculations.

.. note::
    If the total modelled area is small the latitude and longitude could be the same for each grid but small differences in radiation will not be determined.
    If you are defining the latitude and longitude differently between grids make certain that you provide enough decimal places."
6,`lng`,`MU`,"Use coordinate system WGS84. For compatibility with GIS, negative values are to the west, positive values are to the east (e.g. Vancouver = -123.12; Shanghai = 121.47)

.. note::
    this is a change of sign convention between v2016a and v2017a See `lat` for more details."
7,`Timezone`,`MU`,Time zone [h] for site relative to UTC (east is positive). This should be set according to the times given in the meteorological forcing file(s).
8,`SurfaceArea`,`MU`,Area of the grid [ha].
9,`Alt`,`MU`,"Used for both the radiation and water flow between grids.

|NotAvail|"
10,`z`,`MU`,"z must be greater than the displacement height. Forcing data should be representative of the local-scale, i.e. above the height of the roughness elements."
11,`id`,`MD`,Day [DOY] Not used: set to 1 in this version.
12,`ih`,`MD`,Hour [H] Not used: set to 0 in this version.
13,`imin`,`MD`,Minute [M] Not used: set to 0 in this version.
14,`Fr_Paved`,`MU`,Surface cover fraction of paved surfaces [-].
15,`Fr_Bldgs`,`MU`,Surface cover fraction of buildings [-]
16,`Fr_EveTr`,`MU`,Surface cover fraction of evergreen trees and shrubs [-]
17,`Fr_DecTr`,`MU`,Surface cover fraction of deciduous trees and shrubs [-]
18,`Fr_Grass`,`MU`,Surface cover fraction of grass [-]
19,`Fr_Bsoil`,`MU`,Surface cover fraction of bare soil or unmanaged land [-]
20,`Fr_Water`,`MU`,"Surface cover fraction of open water [-] (e.g. river, lakes, ponds, swimming pools) "
21,`IrrFr_EveTr`,`MU`,Fraction of evergreen trees that are irrigated [-] e.g. 50% of the evergreen trees/shrubs are irrigated
22,`IrrFr_DecTr`,`MU`,Fraction of deciduous trees that are irrigated [-]
23,`IrrFr_Grass`,`MU`,Fraction of grass that is irrigated [-]
24,`H_Bldgs`,`MU`,Mean building height [m]
25,`H_EveTr`,`MU`,Mean height of evergreen trees [m]
26,`H_DecTr`,`MU`,Mean height of deciduous trees [m]
27,`z0`,`O`,"Roughness length for momentum [m] Value supplied here is used if `RoughLenMomMethod` = 1 in `RunControl.nml` ; otherwise set to '-999' and a value will be calculated by the model (`RoughLenMomMethod` = 2, 3). "
28,`zd`,`O`,"Zero-plane displacement [m] Value supplied here is used if `RoughLenMomMethod` = 1 in `RunControl.nml` ; otherwise set to '-999' and a value will be calculated by the model (`RoughLenMomMethod` = 2, 3). "
29,`FAI_Bldgs`,`O`,Frontal area index for buildings [-] Required if `RoughLenMomMethod` = 3 in `RunControl.nml` .
30,`FAI_EveTr`,`O`,Frontal area index for evergreen trees [-] Required if `RoughLenMomMethod` = 3 in `RunControl.nml` .
31,`FAI_DecTr`,`O`,Frontal area index for deciduous trees [-] Required if `RoughLenMomMethod` = 3 in `RunControl.nml` .
32,`PopDensDay`,`O`,"Daytime population density (i.e. workers, tourists) [people ha -1 ] Population density is required if EmissionsMethod = 2 in `RunControl.nml` . The model will use the average of daytime and night-time population densities, unless only one is provided. If daytime population density is unknown, set to -999. "
33,`PopDensNight`,`O`,"Night-time population density (i.e. residents) [people ha -1 ] Population density is required if EmissionsMethod = 2 in `RunControl.nml` . The model will use the average of daytime and night-time population densities, unless only one is provided. If night-time population density is unknown, set to -999. "
34,`TrafficRate_WD`,`O`,Weekday traffic rate [veh km |m^-2| |s^-1|]. Can be used for CO2 flux calculation.
35,`TrafficRate_WE`,`O`,Weekend traffic rate [veh km |m^-2| |s^-1|]. Can be used for CO2 flux calculation.
36,`QF0_BEU_WD`,`O`,Weekday building energy use [W |m^-2|] Can be used for CO2 flux calculation.
37,`QF0_BEU_WE`,`O`,Weekend building energy use [W |m^-2|] Can be used for CO2 flux calculation.
